restaurant_id,restaurant_name,city,zone,cuisine_type,restaurant_tier,avg_prep_time_mins,rating
REST_0246,Restaurant 246,Dubai,Zone A,Emirati,Premium,49,4.1
REST_0247,Restaurant 247,Abu Dhabi,Zone C,Indian,QSR,52,4.4
REST_0248,Restaurant 248,Ajman,Zone C,Healthy,QSR,47,4.9
REST_0249,Restaurant 249,Sharjah,Zone D,Emirati,QSR,24,4.2
REST_0250,Restaurant 250,Abu Dhabi,Zone A,Asian,QSR,47,4.7
REST_0251,Restaurant 251,Sharjah,Zone F,Indian,QSR,35,4.9
REST_0252,Restaurant 252,Sharjah,Zone F,Indian,Premium,39,4.1
REST_0253,Restaurant 253,Abu Dhabi,Zone A,Asian,QSR,20,3.3
REST_0254,Restaurant 254,Ajman,Zone E,Western,Casual Dining,38,3.3
REST_0255,Restaurant 255,Abu Dhabi,Zone E,Indian,Premium,24,3.2
REST_0256,Restaurant 256,Dubai,Zone E,Healthy,Casual Dining,53,4.0
REST_0257,Restaurant 257,Sharjah,Zone A,Indian,Casual Dining,18,4.0
REST_0258,Restaurant 258,Sharjah,Zone D,Indian,QSR,51,4.2
REST_0259,Restaurant 259,Ajman,Zone F,Indian,Casual Dining,38,4.0
REST_0260,Restaurant 260,Sharjah,Zone D,Indian,QSR,24,4.9
REST_0261,Restaurant 261,Sharjah,Zone D,Emirati,Premium,26,3.6
REST_0262,Restaurant 262,Sharjah,Zone D,Western,QSR,25,4.7
REST_0263,Restaurant 263,Abu Dhabi,Zone C,Indian,Casual Dining,31,3.2
REST_0264,Restaurant 264,Sharjah,Zone A,Emirati,Casual Dining,49,4.2
REST_0265,Restaurant 265,Abu Dhabi,Zone B,Emirati,Casual Dining,58,4.3
REST_0266,Restaurant 266,Ajman,Zone A,Emirati,QSR,52,4.5
REST_0267,Restaurant 267,Dubai,Zone D,Emirati,QSR,20,4.0
REST_0268,Restaurant 268,Sharjah,Zone C,Western,Premium,47,3.4
REST_0269,Restaurant 269,Dubai,Zone C,Asian,QSR,34,3.7
REST_0270,Restaurant 270,Abu Dhabi,Zone A,Asian,QSR,39,3.5
REST_0271,Restaurant 271,Ajman,Zone B,Indian,Casual Dining,11,3.8
REST_0272,Restaurant 272,Ajman,Zone D,Western,Premium,10,4.1
REST_0273,Restaurant 273,Abu Dhabi,Zone C,Emirati,QSR,47,4.3
REST_0274,Restaurant 274,Dubai,Zone D,Western,Casual Dining,46,4.7
REST_0275,Restaurant 275,Sharjah,Zone D,Healthy,Casual Dining,18,4.8
REST_0276,Restaurant 276,Abu Dhabi,Zone F,Asian,QSR,14,3.9
REST_0277,Restaurant 277,Abu Dhabi,Zone D,Western,Casual Dining,59,3.2
REST_0278,Restaurant 278,Abu Dhabi,Zone E,Western,Premium,33,4.6
REST_0279,Restaurant 279,Abu Dhabi,Zone F,Western,Fine Dining,36,4.0
REST_0280,Restaurant 280,Abu Dhabi,Zone D,Western,QSR,39,4.1
REST_0281,Restaurant 281,Ajman,Zone D,Indian,Casual Dining,24,4.2
REST_0282,Restaurant 282,Abu Dhabi,Zone B,Indian,Casual Dining,56,4.3
REST_0283,Restaurant 283,Ajman,Zone F,Healthy,QSR,18,4.8
REST_0284,Restaurant 284,Dubai,Zone F,Indian,Casual Dining,55,4.9
REST_0285,Restaurant 285,Sharjah,Zone B,Asian,QSR,46,4.9
REST_0286,Restaurant 286,Ajman,Zone E,Asian,QSR,39,4.6
REST_0287,Restaurant 287,Sharjah,Zone F,Asian,QSR,58,4.8
REST_0288,Restaurant 288,Sharjah,Zone E,Emirati,QSR,24,3.1
REST_0289,Restaurant 289,Sharjah,Zone D,Western,Casual Dining,29,4.7
REST_0290,Restaurant 290,Ajman,Zone C,Healthy,QSR,58,3.1
REST_0291,Restaurant 291,Ajman,Zone C,Asian,Casual Dining,34,4.5
REST_0292,Restaurant 292,Ajman,Zone A,Western,QSR,18,3.3
REST_0293,Restaurant 293,Dubai,Zone C,Emirati,Casual Dining,54,3.7
REST_0294,Restaurant 294,Ajman,Zone C,Healthy,Premium,31,3.4
REST_0295,Restaurant 295,Dubai,Zone B,Healthy,QSR,22,3.9
REST_0296,Restaurant 296,Ajman,Zone A,Western,Casual Dining,46,3.8
REST_0297,Restaurant 297,Ajman,Zone A,Indian,Casual Dining,37,3.1
REST_0298,Restaurant 298,Sharjah,Zone B,Indian,Casual Dining,23,4.7
REST_0299,Restaurant 299,Abu Dhabi,Zone C,Emirati,QSR,39,4.7
REST_0300,Restaurant 300,Sharjah,Zone C,Emirati,Casual Dining,48,4.6
REST_0301,Restaurant 301,Ajman,Zone A,Western,QSR,14,4.7
REST_0302,Restaurant 302,Abu Dhabi,Zone C,Indian,QSR,21,4.5
REST_0303,Restaurant 303,Abu Dhabi,Zone A,Western,Casual Dining,44,4.9
REST_0304,Restaurant 304,Dubai,Zone C,Asian,QSR,50,4.2
REST_0305,Restaurant 305,Abu Dhabi,Zone D,Asian,Casual Dining,51,4.2
REST_0306,Restaurant 306,Dubai,Zone B,Asian,Casual Dining,10,4.7
REST_0307,Restaurant 307,Sharjah,Zone F,Healthy,Premium,55,3.7
REST_0308,Restaurant 308,Dubai,Zone E,Indian,QSR,10,3.1
REST_0309,Restaurant 309,Ajman,Zone D,Western,Fine Dining,51,4.5
REST_0310,Restaurant 310,Abu Dhabi,Zone C,Asian,Casual Dining,52,3.5
REST_0311,Restaurant 311,Ajman,Zone E,Western,QSR,29,3.9
REST_0312,Restaurant 312,Abu Dhabi,Zone F,Western,QSR,43,3.5
REST_0313,Restaurant 313,Abu Dhabi,Zone D,Healthy,Casual Dining,43,4.7
REST_0314,Restaurant 314,Sharjah,Zone F,Indian,Premium,33,4.9
REST_0315,Restaurant 315,Dubai,Zone B,Indian,Casual Dining,37,3.1
REST_0316,Restaurant 316,Sharjah,Zone E,Emirati,Casual Dining,20,3.5
REST_0317,Restaurant 317,Dubai,Zone F,Asian,QSR,17,3.4
REST_0318,Restaurant 318,Sharjah,Zone E,Indian,QSR,44,4.3
REST_0319,Restaurant 319,Sharjah,Zone B,Asian,QSR,50,3.9
REST_0320,Restaurant 320,Abu Dhabi,Zone F,Western,Casual Dining,25,3.9
REST_0321,Restaurant 321,Sharjah,Zone D,Indian,QSR,25,3.3
REST_0322,Restaurant 322,Sharjah,Zone E,Indian,QSR,51,3.8
REST_0323,Restaurant 323,Dubai,Zone F,Emirati,QSR,15,3.6
REST_0324,Restaurant 324,Sharjah,Zone B,Asian,Premium,29,4.2
REST_0325,Restaurant 325,Abu Dhabi,Zone F,Indian,Casual Dining,20,3.4
REST_0326,Restaurant 326,Sharjah,Zone F,Indian,QSR,17,4.2
REST_0327,Restaurant 327,Ajman,Zone D,Western,Premium,29,3.8
REST_0328,Restaurant 328,Ajman,Zone C,Indian,QSR,41,3.7
REST_0329,Restaurant 329,Dubai,Zone A,Emirati,QSR,42,3.6
REST_0330,Restaurant 330,Dubai,Zone C,Western,QSR,15,4.3
REST_0331,Restaurant 331,Ajman,Zone C,Asian,QSR,37,4.1
REST_0332,Restaurant 332,Sharjah,Zone A,Healthy,QSR,17,4.7
REST_0333,Restaurant 333,Sharjah,Zone F,Asian,Casual Dining,23,3.5
REST_0334,Restaurant 334,Dubai,Zone C,Indian,Casual Dining,12,3.1
REST_0335,Restaurant 335,Abu Dhabi,Zone C,Western,Casual Dining,11,3.4
REST_0336,Restaurant 336,Sharjah,Zone B,Western,Casual Dining,31,3.7
REST_0337,Restaurant 337,Ajman,Zone B,Asian,Premium,42,3.4
REST_0338,Restaurant 338,Abu Dhabi,Zone D,Asian,QSR,52,3.2
REST_0339,Restaurant 339,Abu Dhabi,Zone E,Asian,Casual Dining,30,3.9
REST_0340,Restaurant 340,Sharjah,Zone F,Indian,Casual Dining,15,4.4
REST_0341,Restaurant 341,Abu Dhabi,Zone D,Western,Premium,49,4.5
REST_0342,Restaurant 342,Dubai,Zone B,Western,QSR,16,3.8
